,hex,reg_number,flag,latitude,longitude,altitude_ft,dir,speed_mph,v_speed_mph,flight_number,flight_icao,flight_iata,departure_icao,departure_iata,arrival_icao,arrival_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type,squawk
81,4B8E45,TC-CRE,TR,40.976619,29.808165,6706.03696,270.3,312.549613,0.0,2739,PGT2739,PC2739,LTAU,ASR,LTFJ,SAW,PGT,PC,B738,2025-12-04 14:32:33,en-route,adsb,Unknown
82,4B194C,HB-JPC,CH,42.333711,18.077591,33989.5024,314.9,547.427851,0.0,253,SWR253,LX253,LLBG,TLV,LSZH,ZRH,SWR,LX,A21N,2025-12-04 14:32:33,en-route,adsb,Unknown
83,8963B1,A6-FEO,AE,47.329075,19.843819,15830.053,302.7,436.82381300000003,0.0,1405,FDB1405,FZ1405,OMDB,DXB,LHBP,BUD,FDB,FZ,B738,2025-12-04 14:32:33,en-route,adsb,Unknown
84,71C517,HL8517,KR,59.329051,-163.209594,37063.64948,74.9,576.010917,0.0,131,APZ131,YP131,RKSI,ICN,KEWR,EWR,APZ,YP,B789,2025-12-04 14:32:33,en-route,adsb,Unknown
85,ADBDC1,N985AK,US,56.48036,-150.126979,30564.30544,178.1,522.573011,0.0,91,ASA91,AS91,KMSP,MSP,KSEA,SEA,ASA,AS,B39M,2025-12-04 14:32:33,en-route,adsb,Unknown
86,A8103E,N619AS,US,64.813354,-147.866239,508.5302,39.3,76.428633,0.0,108,ASA108,AS108,PANC,ANC,PAFA,FAI,ASA,AS,B737,2025-12-04 14:32:33,en-route,adsb,Unknown
87,4D236A,9H-VUT,IE,61.634725,16.265394,38064.30568,217.0,496.475429,0.0,1655,RYR1655,FR1655,EFRO,RVN,LFOB,BVA,RYR,FR,B38M,2025-12-04 14:32:33,en-route,adsb,Unknown
88,503E99,LY-CIN,SN,13.711384,-16.855545,6430.4464,341.7,297.636709,0.0,1005,SZN1005,HC1005,GOBD,DSS,GOGS,CSK,SZN,HC,B738,2025-12-04 14:32:33,en-route,adsb,Unknown
89,4ACA73,SE-RSS,SE,58.652533,3.810992,21640.42064,65.9,422.53228,0.0,4616,SAS4616,SK4616,EGPD,ABZ,ENZV,SVG,SAS,SK,E195,2025-12-04 14:32:33,en-route,adsb,Unknown
90,020118,CN-NMI,MA,51.791449,4.504364,17637.79584,202.6,374.686713,0.0,128,MAC128,3O128,EHAM,AMS,GMTT,TNG,MAC,3O,A320,2025-12-04 14:32:33,en-route,adsb,Unknown
91,4785BF,LN-WDI,NO,58.327151,0.179888,22490.1582,49.1,364.744777,0.0,399,WIF399,WF399,EGPD,ABZ,ENBR,BGO,WIF,WF,DH8D,2025-12-04 14:32:33,en-route,adsb,Unknown
92,407C26,G-TUMU,UK,41.88899,-11.037134,36938.97756,23.7,464.785508,0.0,313,TOM313,BY313,GVBA,BVC,EGBB,BHX,TOM,BY,B38M,2025-12-04 14:32:33,en-route,adsb,Unknown
93,E4851A,PT-TMC,CL,-19.363681,-44.988454,38162.73088,330.0,490.88309,0.0,3971,LAN3971,LA3971,SBRJ,SDU,SBBR,BSB,TAM,JJ,A319,2025-12-04 14:32:33,en-route,adsb,Unknown
94,E8061F,CC-DIB,CL,-0.518126,-78.37079,39389.76504,197.7,508.902849,0.0,811,JAT811,JA811,SKCL,CLO,SCFA,ANF,JAT,JA,A21N,2025-12-04 14:32:33,en-route,adsb,Unknown
95,E80609,CC-AWJ,PE,-7.461154,-75.971794,37290.02744,17.9,526.301237,0.0,7752,JAP7752,JZ7752,SPJC,LIM,SKRG,MDE,JAP,JZ,A20N,2025-12-04 14:32:33,en-route,adsb,Unknown
96,AD675F,N963AV,CO,8.851751,-73.606801,34064.96172,2.0,557.991158,0.0,232,AVA232,AV232,SKBO,BOG,TNCA,AUA,AVA,AV,A20N,2025-12-04 14:32:33,en-route,adsb,Unknown
97,E49AAA,PR-XBO,CL,-7.509997,-44.209969,40314.96192,212.0,476.591557,0.0,3853,LAN3853,LA3853,SBTE,THE,SBBR,BSB,TAM,JJ,A20N,2025-12-04 14:32:33,en-route,adsb,Unknown
98,C03064,C-FSIL,CA,16.901974,-61.786062,39140.4212,177.5,541.835512,0.0,1338,ACA1338,AC1338,CYYZ,YYZ,TVSV,SVD,ACA,AC,B38M,2025-12-04 14:32:33,en-route,adsb,Unknown
99,A37EA4,N324RA,US,12.930549,-59.86648,12004.59356,160.8,308.821387,0.0,2727,AAL2727,AA2727,TBPB,BGI,KMIA,MIA,AAL,AA,B38M,2025-12-04 14:32:33,en-route,adsb,Unknown
