hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type,squawk
4D236A,9H-VUT,IE,61.634725,16.265394,11602,217.0,799,0,1655,RYR1655,FR1655,EFRO,RVN,LFOB,BVA,RYR,FR,B38M,1764876753,en-route,adsb,
503E99,LY-CIN,SN,13.711384,-16.855545,1960,341.7,479,0,1005,SZN1005,HC1005,GOBD,DSS,GOGS,CSK,SZN,HC,B738,1764876753,en-route,adsb,
4ACA73,SE-RSS,SE,58.652533,3.810992,6596,65.9,680,0,4616,SAS4616,SK4616,EGPD,ABZ,ENZV,SVG,SAS,SK,E195,1764876753,en-route,adsb,
020118,CN-NMI,MA,51.791449,4.504364,5376,202.6,603,0,128,MAC128,3O128,EHAM,AMS,GMTT,TNG,MAC,3O,A320,1764876753,en-route,adsb,
4785BF,LN-WDI,NO,58.327151,0.179888,6855,49.1,587,0,399,WIF399,WF399,EGPD,ABZ,ENBR,BGO,WIF,WF,DH8D,1764876753,en-route,adsb,
407C26,G-TUMU,UK,41.88899,-11.037134,11259,23.7,748,0,313,TOM313,BY313,GVBA,BVC,EGBB,BHX,TOM,BY,B38M,1764876753,en-route,adsb,
E4851A,PT-TMC,CL,-19.363681,-44.988454,11632,330.0,790,0,3971,LAN3971,LA3971,SBRJ,SDU,SBBR,BSB,TAM,JJ,A319,1764876753,en-route,adsb,
E8061F,CC-DIB,CL,-0.518126,-78.37079,12006,197.7,819,0,811,JAT811,JA811,SKCL,CLO,SCFA,ANF,JAT,JA,A21N,1764876753,en-route,adsb,
E80609,CC-AWJ,PE,-7.461154,-75.971794,11366,17.9,847,0,7752,JAP7752,JZ7752,SPJC,LIM,SKRG,MDE,JAP,JZ,A20N,1764876753,en-route,adsb,
AD675F,N963AV,CO,8.851751,-73.606801,10383,2.0,898,0,232,AVA232,AV232,SKBO,BOG,TNCA,AUA,AVA,AV,A20N,1764876753,en-route,adsb,
E49AAA,PR-XBO,CL,-7.509997,-44.209969,12288,212.0,767,0,3853,LAN3853,LA3853,SBTE,THE,SBBR,BSB,TAM,JJ,A20N,1764876753,en-route,adsb,
C03064,C-FSIL,CA,16.901974,-61.786062,11930,177.5,872,0,1338,ACA1338,AC1338,CYYZ,YYZ,TVSV,SVD,ACA,AC,B38M,1764876753,en-route,adsb,
A37EA4,N324RA,US,12.930549,-59.86648,3659,160.8,497,0,2727,AAL2727,AA2727,TBPB,BGI,KMIA,MIA,AAL,AA,B38M,1764876753,en-route,adsb,
