,hex,reg_number,flag,latitude,longitude,altitude_ft,dir,speed_mph,v_speed_mph,flight_number,flight_icao,flight_iata,departure_icao,departure_iata,arrival_icao,arrival_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type
40,8881D7,VN-A526,VN,22.395365,107.55262,30439.63352,80.1,512.009704,0.0,934,VJC934,VJ934,VVNB,HAN,RJAA,NRT,VJC,VJ,A21N,2025-12-02 20:54:24,en-route,adsb
41,E0B285,LV-KJE,AR,-33.704064,-63.168061,37063.64948,101.8,589.059708,0.0,5057,FBZ5057,FO5057,SAME,MDZ,SABE,AEP,FBZ,FO,B738,2025-12-02 20:54:24,en-route,adsb
42,E4950D,PR-XMI,BR,-22.223644,-45.522304,35039.3712,31.0,531.272205,0.0,1414,GLO1414,G31414,SBSP,CGH,SBFZ,FOR,GLO,G3,B38M,2025-12-02 20:54:24,en-route,adsb
43,E48BE3,PR-MYT,CL,-16.246927,-40.674698,39314.30572,37.8,548.670593,0.0,3634,LAN3634,LA3634,SBSP,CGH,SBSV,SSA,TAM,JJ,A320,2025-12-02 20:54:24,en-route,adsb
44,E4952D,PR-XMN,BR,-12.9235,-38.395948,1233.59584,78.8,151.614524,0.0,1744,GLO1744,G31744,SBBR,BSB,SBSV,SSA,GLO,G3,B38M,2025-12-02 20:54:24,en-route,adsb
45,39CF0D,F-HTYN,FR,-12.986757,-37.770392,39288.059,28.1,587.816966,0.0,459,AFR459,AF459,SBGR,GRU,LFPG,CDG,AFR,AF,A359,2025-12-02 20:54:24,en-route,adsb
46,75025E,9M-MTK,MY,30.986513,136.201517,37490.15868,222.0,434.338329,0.0,53,MAS53,MH53,RJBB,KIX,WMKK,KUL,MAS,MH,A333,2025-12-02 20:54:24,en-route,adsb
47,88818E,VN-A879,VN,32.273179,136.865448,37263.78072,251.4,413.833086,0.0,307,HVN307,VN307,RJAA,NRT,VVTS,SGN,HVN,VN,B78X,2025-12-02 20:54:24,en-route,adsb
48,86CF6F,JA808X,JP,34.713186,138.871576,23638.4522,81.4,553.02019,0.0,14,SNJ14,6J14,RJFT,KMJ,RJTT,HND,SNJ,6J,B738,2025-12-02 20:54:24,en-route,adsb
49,71C506,HL8506,KR,37.256381,124.170524,26489.50216,238.8,431.231474,0.0,805,KAL805,KE805,RKSI,ICN,ZBTJ,TSN,KAL,KE,A21N,2025-12-02 20:54:24,en-route,adsb
50,71C248,HL8248,KR,37.061647,127.481626,14931.10284,280.8,325.598404,0.0,1406,KAL1406,KE1406,RKPK,PUS,RKSI,ICN,KAL,KE,B739,2025-12-02 20:54:24,en-route,adsb
51,800D7A,VT-SYJ,IN,19.092126,73.108478,3907.48044,266.8,211.26614,0.0,655,SEJ655,SG655,VOBL,BLR,VABB,BOM,SEJ,SG,B738,2025-12-02 20:54:24,en-route,adsb
52,89408F,A9C-FE,BH,23.895093,73.122079,38438.32144,95.0,640.01213,0.0,154,GFA154,GF154,OBBI,BAH,RPLL,MNL,GFA,GF,B789,2025-12-02 20:54:24,en-route,adsb
53,8003B3,VT-AXP,IN,11.605664,74.694651,32664.04304,141.7,539.350028,0.0,472,AXB472,IX472,OBBI,BAH,VOCI,COK,AXB,IX,B738,2025-12-02 20:54:24,en-route,adsb
54,800CBA,VT-TNK,IN,23.241383,76.979916,38487.53404,177.7,477.834299,0.0,2803,AIC2803,AI2803,VIDP,DEL,VOBL,BLR,AIC,AI,A20N,2025-12-02 20:54:24,en-route,adsb
55,800CC3,VT-IYI,IN,10.17435,77.918748,11906.16836,186.8,271.539127,0.0,7171,IGO7171,6E7171,VOBL,BLR,VOMD,IXM,IGO,6E,AT76,2025-12-02 20:54:24,en-route,adsb
